BAIRRO,PREÇO POR METRO,UNIDADES RESIDENCIAIS,ÍNDICE DE PRESSÃO,ÁREA TERRITORIAL DISPONÍVEL,SCORE FINAL,RENDA MENSAL,ÍNDICE DE ACESSIBILIDADE,LATITUDE,LONGITUDE,VARIAÇÃO DE PREÇO MENSAL,RISCO ALTO
Praça da Bandeira,57.241666666666674,3486,1.508,16642,1.045,5968.7,0.48,-22.9112162,-43.2131983,15.483234714003933,2.0
São Conrado,96.2,3910,1.766,2269698,2.664,15460.84,0.31,-22.9913592,-43.2675329,0.0,1.75
Engenho da Rainha,20.25,4228,1.142,814235,1.594,2768.23,0.37,-22.8626496,-43.2937874,-11.999999999999998,1.5
Vaz Lobo,21.98333333333333,2860,1.233,190086,1.27,3400.44,0.32,-22.8589721,-43.3278646,124.15458937198068,1.5
Tomás Coelho,29.016666666666666,6819,1.125,710011,1.539,2575.31,0.56,-22.8676979,-43.3060881,8.487084870848697,1.5
Honório Gurgel,29.716666666666665,4540,1.197,349627,1.382,2655.16,0.56,-22.8465751,-43.3561294,15.589353612167292,1.0
Jardim Botânico,94.4,6789,1.429,421699,1.526,16256.81,0.29,-22.9636362,-43.2233457,-15.498154981549826,1.0
São Francisco Xavier,44.98333333333333,2924,1.476,234010,1.386,4344.1,0.52,-22.9047617,-43.2440314,32.48587570621469,1.0
Leme,126.25,5762,1.681,15232,1.053,12905.11,0.49,-22.961704,-43.1669042,-72.8600201409869,1.0
Copacabana,91.39166666666664,75872,1.029,217411,1.232,11062.82,0.41,-22.971974,-43.1842997,-14.751703992210325,0.75
Flamengo,117.0,25506,1.135,30889,1.048,11383.51,0.51,-22.9339841,-43.1745744,68.45637583892618,0.75
Riachuelo,48.1,5127,1.286,179589,1.275,4313.61,0.56,-22.9026953,-43.255175,178.74015748031496,0.5
Penha,34.81666666666666,14944,1.064,1060606,1.636,2884.09,0.6,-22.8381127,-43.2764454,54.81171548117156,0.5
Rio Comprido,45.23333333333333,8898,1.151,433382,1.414,2894.92,0.78,-22.9279449,-43.2088566,33.33333333333335,0.5
Humaitá,85.21666666666667,6964,1.376,197026,1.318,13811.53,0.31,-22.9546413,-43.2004797,-4.1902604756511925,0.5
Cosme Velho,38.2,1717,1.692,163167,1.366,10247.67,0.19,-22.9415143,-43.2006244,0.0,0.5
Del Castilho,30.508333333333333,5441,1.167,321941,1.352,3592.66,0.42,-22.8795618,-43.2724202,10.891089108910892,0.5
Padre Miguel,17.5,9958,1.046,1236081,1.681,2609.17,0.34,-22.8788135,-43.4485569,0.0,0.5
Vila da Penha,37.30833333333334,9996,1.108,18140,1.015,5194.36,0.36,-22.8435065,-43.3100585,-37.62649494020239,0.5
Botafogo,62.3,37501,1.043,274254,1.276,12769.53,0.24,-22.9515096,-43.1862969,37.7450980392157,0.5
Pilares,18.816666666666663,6903,1.077,104684,1.146,3063.2,0.31,-22.8790904,-43.2955477,-24.078091106290678,0.25
Jardim América,19.45,6313,1.088,223535,1.255,3041.17,0.32,-22.810005,-43.323212,-12.206572769953057,0.25
Tijuca,43.55833333333334,49028,1.019,687909,1.472,9426.29,0.23,-22.9247351,-43.2327165,-14.10788381742738,0.25
Pavuna,18.2,18951,1.021,2044400,1.875,2417.92,0.38,-22.8121927,-43.3592811,0.0,0.25
Curicica,27.73333333333333,6261,1.13,1058481,1.68,3322.18,0.42,-22.9519909,-43.3872901,-21.06824925816024,0.0
Piedade,32.766666666666666,11980,1.077,414532,1.372,3184.36,0.51,-22.8926665,-43.3110001,43.683083511777276,0.0
Vigário Geral,22.48333333333333,4909,1.135,657873,1.521,2234.64,0.5,-22.8095333,-43.3097039,-11.646586345381522,0.0
Ipanema,184.21666666666667,21788,1.257,10130,1.0,17367.44,0.53,-22.9839557,-43.2022163,2.975206611570251,0.0
Jacaré,26.5,1899,1.43,41416,1.108,2000.28,0.66,-22.8931174,-43.2571998,0.0,0.0
Cordovil,24.258333333333333,9568,1.071,575130,1.45,2231.08,0.54,-22.8194378,-43.2915908,-0.2057613168724309,0.0
Rocha,36.53333333333333,5730,1.192,69275,1.123,2709.5,0.67,-22.8995624,-43.2488072,-6.74300254452926,0.0
Parada de Lucas,29.616666666666667,5906,1.149,115747,1.174,2186.58,0.68,-22.8167023,-43.3012102,3.83275261324041,0.0
Irajá,32.25,26601,1.029,800951,1.522,3773.31,0.43,-22.8351129,-43.3233619,7.49185667752442,0.0
Osvaldo Cruz,29.008333333333333,8344,1.1,144150,1.191,3408.1,0.43,-22.8705266,-43.350194,29.399141630901276,0.0
Cascadura,26.85833333333333,8761,1.087,507252,1.425,3020.98,0.44,-22.8841816,-43.3283969,-20.22838499184338,0.0
Maria da Graça,34.2,2777,1.379,12964,1.02,3812.09,0.45,-22.8830403,-43.2638849,0.0,0.0
Colégio,21.73333333333333,4520,1.142,231194,1.277,2375.98,0.46,-22.83979,-43.3357623,-36.94267515923566,0.0
Rocha Miranda,27.2,9197,1.084,559305,1.449,2970.35,0.46,-22.8503472,-43.3463053,0.0,0.0
Turiaçú,27.9,3392,1.25,982607,1.731,2923.07,0.48,-22.8616631,-43.3418026,0.0,0.0
Bento Ribeiro,36.65833333333333,9612,1.111,239241,1.274,3715.36,0.49,-22.8666607,-43.3608367,20.993589743589748,0.0
Guadalupe,29.433333333333337,10160,1.082,413963,1.374,2916.05,0.5,-22.8376208,-43.3751608,-22.160664819944596,0.0
Olaria,28.6,15376,1.049,352640,1.326,3896.67,0.37,-22.8484866,-43.2706124,4.347826086956519,0.0
Cachambi,42.55833333333333,13204,1.092,76274,1.115,5501.64,0.39,-22.8897728,-43.2743347,13.719943422913746,0.0
Engenho Novo,30.008333333333333,13788,1.059,605366,1.458,3727.65,0.4,-22.9090942,-43.2678381,-0.16638935108153313,0.0
São Cristóvão,28.4,9018,1.09,357971,1.345,3750.56,0.38,-22.899318,-43.2219346,-43.24324324324324,0.0
Sampaio,23.466666666666665,2022,1.356,156219,1.269,3050.81,0.38,-22.9022287,-43.2602402,-6.451612903225812,0.0
Leblon,154.575,22244,1.21,73218,1.132,18852.38,0.41,-22.9834608,-43.2249656,15.443592552026292,0.0
Praça Seca,23.15,16312,1.035,2290394,1.945,3712.21,0.31,-22.8992621,-43.3527794,-9.2741935483871,0.0
Ramos,22.85,10417,1.06,190054,1.22,3603.62,0.32,-22.8519758,-43.2555693,6.944444444444444,0.0
Quintino Bocaiúva,21.9,8565,1.071,209404,1.239,3451.27,0.32,-22.8955889,-43.3253269,3.720930232558143,0.0
Portuguesa,36.36666666666667,6950,1.156,23031,1.032,5167.89,0.35,-22.7999597,-43.2068169,22.14983713355049,0.0
Andaraí,48.46666666666667,12440,1.113,151016,1.201,6496.65,0.37,-22.9290845,-43.2534858,111.41649048625793,0.0
Lins de Vasconcelos,28.566666666666663,9058,1.09,498043,1.422,3912.8,0.37,-22.9140512,-43.2843528,-21.633237822349564,0.0
Engenho de Dentro,30.825000000000003,16654,1.049,1856856,1.855,4320.24,0.36,-22.9026591,-43.2967757,-1.4218009478672853,0.0
Madureira,26.275,12583,1.056,700308,1.497,3208.21,0.41,-22.871658,-43.3371976,6.882591093117407,0.0
Brás de Pina,20.383333333333333,13117,1.04,402500,1.35,2560.06,0.4,-22.831888,-43.2977309,13.66120218579235,0.0
Tanque,28.325,5942,1.141,1155738,1.722,3440.91,0.41,-22.9151927,-43.3557471,8.506616257088847,0.0
Encantado,26.48333333333333,4667,1.17,35902,1.062,3402.12,0.39,-22.8974743,-43.3042461,-7.746478873239435,0.0
Marechal Hermes,20.375,9598,1.058,424495,1.37,3385.05,0.3,-22.8599658,-43.3704561,-11.26126126126126,0.0
Pechincha,38.016666666666666,12647,1.085,294368,1.303,6664.13,0.29,-22.928988,-43.3534191,-2.678571428571439,0.0
Freguesia (Jacarepaguá),46.46666666666667,22038,1.057,1211889,1.681,7864.41,0.3,-22.9408899,-43.3422564,0.0,0.0
Anil,31.933333333333337,10877,1.083,614694,1.474,5369.67,0.3,-22.9558133,-43.3384123,-18.867924528301884,0.0
Bonsucesso,23.3,7383,1.09,175780,1.217,3917.38,0.3,-22.8659317,-43.253318,-15.671641791044774,0.0
Maracanã,49.85,11655,1.125,46457,1.076,9694.16,0.26,-22.9121619,-43.2311861,8.36909871244635,0.0
Vila Isabel,37.35833333333333,27838,1.033,311784,1.296,6915.71,0.27,-22.9166993,-43.2508354,-3.255208333333315,0.0
Engenheiro Leal,14.325,1135,1.388,97596,1.202,2628.93,0.27,-22.8743923,-43.3255315,-18.58407079646019,0.0
Méier,36.75833333333334,16931,1.059,38355,1.053,6844.58,0.27,-22.90173,-43.2797093,6.798866855524096,0.0
Higienópolis,21.5,5083,1.124,42367,1.069,3831.74,0.28,-22.873999,-43.2613682,0.0,0.0
Todos os Santos,39.1,8051,1.144,124045,1.181,7053.52,0.28,-22.894563,-43.28506,50.3623188405797,0.0
Campinho,19.575,2269,1.263,128962,1.215,3959.43,0.25,-22.8852187,-43.347738,-42.903752039151705,0.0
Abolição,19.791666666666664,3821,1.154,20761,1.026,4351.76,0.23,-22.8861614,-43.2998457,-20.0,0.0
Grajaú,36.8,13807,1.075,400681,1.364,8350.43,0.22,-22.9225217,-43.2645145,12.612612612612622,0.0
Ribeira,32.1,1491,1.669,56619,1.178,6857.41,0.23,-22.8252399,-43.1705907,0.0,0.0
Lagoa,81.05,9094,1.272,71335,1.14,20440.67,0.2,-22.9624658,-43.2024884,0.0,0.0
Vila Valqueire,23.98333333333333,12381,1.052,650275,1.474,5847.21,0.21,-22.8886093,-43.3657758,-16.845878136200703,0.0
Benfica,7.9,4151,1.051,131164,1.167,2182.2,0.18,-22.8922965,-43.240341,0.0,0.0
Vista Alegre,14.2,2763,1.153,12291,1.001,4517.68,0.16,-22.8296244,-43.3151276,0.0,0.0
Jardim Guanabara,24.816666666666663,11615,1.058,134343,1.172,9863.93,0.13,-22.8128362,-43.2007792,10.043668122270745,0.0
Gávea,39.2,6414,1.183,488794,1.46,14686.65,0.13,-22.9814243,-43.2383245,-31.578947368421048,0.0
